company_name,ticker_symbol,market_cap,url
Bristol-Myers Squibb Company Common Stock,BMY,"102,368,662,000",https://www.nasdaq.com/market-activity/stocks/bmy
"TJX Companies, Inc. (The) Common Stock",TJX,"101,579,394,610",https://www.nasdaq.com/market-activity/stocks/tjx
BP p.l.c. Common Stock,BP,"100,557,194,975",https://www.nasdaq.com/market-activity/stocks/bp
UBS Group AG Registered Ordinary Shares,UBS,"98,644,600,000",https://www.nasdaq.com/market-activity/stocks/ubs
"Gilead Sciences, Inc. Common Stock",GILD,"98,462,230,543",https://www.nasdaq.com/market-activity/stocks/gild
AstraZeneca PLC American Depositary Shares,AZN,"97,974,250,000",https://www.nasdaq.com/market-activity/stocks/azn
Petroleo Brasileiro S.A.- Petrobras Common Stock,PBR,"97,048,857,389",https://www.nasdaq.com/market-activity/stocks/pbr
"Mondelez International, Inc. Class A Common Stock",MDLZ,"96,746,067,138",https://www.nasdaq.com/market-activity/stocks/mdlz
CVS Health Corporation Common Stock,CVS,"96,645,933,308",https://www.nasdaq.com/market-activity/stocks/cvs
"Marsh & McLennan Companies, Inc. Common Stock",MMC,"96,479,484,139",https://www.nasdaq.com/market-activity/stocks/mmc
American Tower Corporation (REIT) Common Stock,AMT,"96,239,788,611",https://www.nasdaq.com/market-activity/stocks/amt
Equinor ASA,EQNR,"96,124,602,493",https://www.nasdaq.com/market-activity/stocks/eqnr
"Automatic Data Processing, Inc. Common Stock",ADP,"94,299,847,369",https://www.nasdaq.com/market-activity/stocks/adp
Progressive Corporation (The) Common Stock,PGR,"94,291,042,981",https://www.nasdaq.com/market-activity/stocks/pgr
"Palo Alto Networks, Inc. Common Stock",PANW,"94,091,826,000",https://www.nasdaq.com/market-activity/stocks/panw
"Citigroup, Inc. Common Stock",C,"93,569,687,704",https://www.nasdaq.com/market-activity/stocks/c
Shopify Inc. Class A Subordinate Voting Shares,SHOP,"93,134,451,657",https://www.nasdaq.com/market-activity/stocks/shop
"Eaton Corporation, PLC Ordinary Shares",ETN,"92,761,383,000",https://www.nasdaq.com/market-activity/stocks/etn
Lam Research Corporation Common Stock,LRCX,"92,672,180,640",https://www.nasdaq.com/market-activity/stocks/lrcx
"Analog Devices, Inc. Common Stock",ADI,"91,748,859,029",https://www.nasdaq.com/market-activity/stocks/adi
"Regeneron Pharmaceuticals, Inc. Common Stock",REGN,"91,530,719,138",https://www.nasdaq.com/market-activity/stocks/regn
"Airbnb, Inc. Class A Common Stock",ABNB,"91,222,266,140",https://www.nasdaq.com/market-activity/stocks/abnb
Chubb Limited Common Stock,CB,"90,945,028,163",https://www.nasdaq.com/market-activity/stocks/cb
Vertex Pharmaceuticals Incorporated Common Stock,VRTX,"90,227,766,878",https://www.nasdaq.com/market-activity/stocks/vrtx
Zoetis Inc. Class A Common Stock,ZTS,"84,752,387,359",https://www.nasdaq.com/market-activity/stocks/zts
ICICI Bank Limited Common Stock,IBN,"84,212,757,728",https://www.nasdaq.com/market-activity/stocks/ibn
"Micron Technology, Inc. Common Stock",MU,"82,308,663,946",https://www.nasdaq.com/market-activity/stocks/mu
