ticker_symbol,total_revenue,gross_profit,net_income,total_assets,total_liabilities,year
CSCO,"$56,998,000","$35,753,000","$12,613,000","$101,852,000","$57,499,000",2023
CSCO,"$51,557,000","$32,248,000","$11,812,000","$94,002,000","$54,229,000",2022
CSCO,"$49,818,000","$31,894,000","$10,591,000","$97,497,000","$56,222,000",2021
CSCO,"$49,301,000","$31,683,000","$11,214,000","$94,853,000","$56,933,000",2020
LIN,"$33,364,000","$13,914,000","$4,147,000","$79,658,000","$39,617,000",2022
LIN,"$30,793,000","$13,250,000","$3,826,000","$81,605,000","$37,557,000",2021
LIN,"$27,243,000","$11,860,000","$2,501,000","$88,229,000","$40,899,000",2020
LIN,"$28,228,000","$11,584,000","$2,285,000","$86,612,000","$37,425,000",2019
TMO,"$44,915,000","$18,971,000","$6,950,000","$97,154,000","$53,060,000",2022
TMO,"$39,211,000","$19,638,000","$7,725,000","$95,123,000","$54,208,000",2021
TMO,"$32,218,000","$16,004,000","$6,375,000","$69,052,000","$34,545,000",2020
TMO,"$25,542,000","$11,328,000","$3,696,000","$58,381,000","$28,706,000",2019
BABA,"$126,412,000","$46,420,000","$10,591,000","$255,105,000","$109,654,000",2023
BABA,"$134,487,000","$49,441,000","$9,814,000","$267,307,000","$116,255,000",2022
BABA,"$109,426,000","$45,169,000","$22,971,000","$257,852,000","$113,513,000",2021
BABA,"$71,860,000","$32,051,000","$21,067,000","$185,107,000","$77,326,000",2020
PDD,"$18,780,671","$14,254,828","$4,536,741","$34,109,635","$17,168,325",2022
PDD,"$14,741,061","$9,764,385","$1,218,930","$28,432,413","$16,646,688",2021
PDD,"$9,096,894","$6,148,999","-$1,097,853","$24,298,696","$15,097,209",2020
PDD,"$4,327,187","$3,417,188","-$1,000,273","$10,918,836","$7,380,517",2019
ABT,"$43,653,000","$24,511,000","$6,933,000","$74,438,000","$37,752,000",2022
ABT,"$43,075,000","$24,538,000","$7,071,000","$75,196,000","$39,394,000",2021
ABT,"$34,608,000","$19,605,000","$4,495,000","$72,548,000","$39,764,000",2020
ABT,"$31,904,000","$18,673,000","$3,687,000","$67,887,000","$36,799,000",2019
TMUS,"$79,571,000","$43,365,000","$2,590,000","$211,338,000","$141,682,000",2022
TMUS,"$80,118,000","$43,513,000","$3,024,000","$206,563,000","$137,461,000",2021
TMUS,"$68,397,000","$40,131,000","$3,064,000","$200,162,000","$134,818,000",2020
TMUS,"$44,998,000","$26,477,000","$3,468,000","$86,921,000","$58,132,000",2019
INTC,"$63,054,000","$26,866,000","$8,014,000","$182,103,000","$80,680,000",2022
INTC,"$79,024,000","$43,815,000","$19,868,000","$168,406,000","$73,015,000",2021
INTC,"$77,867,000","$43,612,000","$20,899,000","$153,091,000","$72,053,000",2020
INTC,"$71,965,000","$42,140,000","$21,048,000","$136,524,000","$58,865,000",2019
NKE,"$51,217,000","$22,292,000","$5,070,000","$37,531,000","$23,527,000",2023
NKE,"$46,710,000","$21,479,000","$6,046,000","$40,321,000","$25,040,000",2022
NKE,"$44,538,000","$19,962,000","$5,727,000","$37,740,000","$24,973,000",2021
NKE,"$37,403,000","$16,241,000","$2,539,000","$31,342,000","$23,287,000",2020
TTE,"$263,310,000","$263,310,000","$21,044,000","$303,864,000","$189,294,000",2022
TTE,"$184,634,000","$184,634,000","$16,366,000","$293,458,000","$178,459,000",2021
TTE,"$119,704,000","$119,704,000","-$7,336,000","$266,132,000","$160,047,000",2020
TTE,"$176,249,000","$176,249,000","$11,438,000","$273,294,000","$153,989,000",2019
DIS,"$88,898,000","$29,697,000","$2,354,000","$205,579,000","$97,247,000",2023
DIS,"$82,722,000","$28,321,000","$3,145,000","$203,631,000","$99,124,000",2022
DIS,"$67,418,000","$22,287,000","$1,995,000","$203,609,000","$105,843,000",2021
DIS,"$65,388,000","$21,508,000","-$2,864,000","$201,549,000","$108,717,000",2020
CMCSA,"$121,427,000","$83,214,000","$5,370,000","$257,275,000","$175,920,000",2022
CMCSA,"$116,385,000","$77,935,000","$14,159,000","$275,905,000","$179,295,000",2021
CMCSA,"$103,564,000","$70,443,000","$10,534,000","$273,869,000","$182,266,000",2020
CMCSA,"$108,942,000","$74,502,000","$13,057,000","$263,414,000","$179,316,000",2019
TBC,"$120,741,000","$69,893,000","-$8,524,000","$402,853,000","$305,353,000",2022
TBC,"$134,038,000","$73,631,000","$20,081,000","$551,622,000","$385,290,000",2021
TBC,"$143,050,000","$77,399,000","-$5,176,000","$525,761,000","$364,088,000",2020
TBC,"$181,193,000","$97,052,000","$13,903,000","$551,669,000","$367,448,000",2019
WFC,"$82,859,000",--,"$13,182,000","$1,881,016,000","$1,701,127,000",2022
WFC,"$82,407,000",--,"$21,548,000","$1,948,068,000","$1,760,462,000",2021
WFC,"$82,227,000",--,"$3,377,000","$1,952,911,000","$1,768,231,000",2020
WFC,"$105,684,000",--,"$19,715,000","$1,927,555,000","$1,740,409,000",2019
PFE,"$100,330,000","$65,986,000","$31,407,000","$197,205,000","$101,544,000",2022
PFE,"$81,288,000","$50,467,000","$22,025,000","$181,476,000","$104,275,000",2021
PFE,"$41,651,000","$33,167,000","$9,195,000","$154,229,000","$90,991,000",2020
PFE,"$40,905,000","$32,851,000","$16,056,000","$167,594,000","$104,451,000",2019
VZ,"$136,835,000","$77,702,000","$21,256,000","$379,680,000","$287,217,000",2022
VZ,"$133,613,000","$77,312,000","$22,065,000","$366,596,000","$283,396,000",2021
VZ,"$128,292,000","$77,091,000","$17,801,000","$316,481,000","$247,209,000",2020
VZ,"$131,868,000","$77,142,000","$19,265,000","$291,727,000","$228,892,000",2019
DHR,"$31,471,000","$18,949,000","$7,209,000","$84,350,000","$34,268,000",2022
DHR,"$29,453,000","$17,952,000","$6,433,000","$83,184,000","$38,017,000",2021
DHR,"$22,284,000","$12,475,000","$3,646,000","$76,161,000","$36,395,000",2020
DHR,"$17,911,000","$9,984,000","$3,008,000","$62,082,000","$31,811,000",2019
INTU,"$14,368,000","$11,388,000","$2,384,000","$27,780,000","$10,511,000",2023
INTU,"$12,726,000","$10,460,000","$2,066,000","$27,734,000","$11,293,000",2022
INTU,"$9,633,000","$8,000,000","$2,062,000","$15,516,000","$5,647,000",2021
INTU,"$7,679,000","$6,323,000","$1,826,000","$10,931,000","$5,825,000",2020
TBB,"$120,741,000","$69,893,000","-$8,524,000","$402,853,000","$305,353,000",2022
TBB,"$134,038,000","$73,631,000","$20,081,000","$551,622,000","$385,290,000",2021
TBB,"$143,050,000","$77,399,000","-$5,176,000","$525,761,000","$364,088,000",2020
TBB,"$181,193,000","$97,052,000","$13,903,000","$551,669,000","$367,448,000",2019
LYG,"$9,592,000",--,"$6,682,000","$1,055,946,000","$999,077,000",2022
LYG,"$57,854,000",--,"$7,971,000","$1,200,765,000","$1,129,091,000",2021
LYG,"$39,053,000",--,"$1,896,000","$1,190,990,000","$1,123,758,000",2020
LYG,"$63,246,000",--,"$3,982,000","$1,104,714,000","$1,041,651,000",2019
BA,"$66,608,000","$3,502,000","-$4,935,000","$137,100,000","$152,983,000",2022
BA,"$62,286,000","$3,017,000","-$4,202,000","$138,552,000","$153,551,000",2021
BA,"$58,158,000","-$5,685,000","-$11,873,000","$152,136,000","$170,452,000",2020
BA,"$76,559,000","$4,466,000","-$636,000","$133,625,000","$142,242,000",2019
QCOM,"$35,820,000","$19,951,000","$7,232,000","$51,040,000","$29,459,000",2023
QCOM,"$44,200,000","$25,565,000","$12,936,000","$49,014,000","$31,001,000",2022
QCOM,"$33,566,000","$19,304,000","$9,043,000","$41,240,000","$31,290,000",2021
QCOM,"$23,531,000","$14,276,000","$5,198,000","$35,594,000","$29,517,000",2020
IBM,"$60,530,000","$32,687,000","$1,639,000","$127,243,000","$105,299,000",2022
IBM,"$57,350,000","$31,486,000","$5,743,000","$132,001,000","$113,100,000",2021
IBM,"$55,179,000","$30,865,000","$5,590,000","$155,971,000","$135,373,000",2020
IBM,"$57,714,000","$31,533,000","$9,431,000","$152,186,000","$131,346,000",2019
AMGN,"$26,323,000","$19,917,000","$6,552,000","$65,121,000","$61,460,000",2022
AMGN,"$25,979,000","$19,525,000","$5,893,000","$61,165,000","$54,465,000",2021
AMGN,"$25,424,000","$19,265,000","$7,264,000","$62,948,000","$53,539,000",2020
AMGN,"$23,362,000","$19,006,000","$7,842,000","$59,707,000","$50,034,000",2019
NOW,"$7,245,000","$5,672,000","$325,000","$13,299,000","$8,267,000",2022
NOW,"$5,896,000","$4,543,000","$230,000","$10,798,000","$7,103,000",2021
NOW,"$4,519,000","$3,532,000","$119,000","$8,715,000","$5,881,000",2020
NOW,"$3,460,000","$2,664,000","$627,000","$6,022,430","$3,894,489",2019
TXN,"$20,028,000","$13,771,000","$8,749,000","$27,207,000","$12,630,000",2022
TXN,"$18,344,000","$12,376,000","$7,769,000","$24,676,000","$11,343,000",2021
TXN,"$14,461,000","$9,269,000","$5,595,000","$19,351,000","$10,164,000",2020
TXN,"$14,383,000","$9,164,000","$5,017,000","$18,018,000","$9,111,000",2019
RYAAY,"$11,706,800","$4,597,500","$1,427,400","$17,824,400","$11,693,500",2023
RYAAY,"$5,341,800","$1,648,100","-$267,900","$16,856,500","$10,686,500",2022
RYAAY,"$1,922,600","$484,200","-$1,193,100","$14,489,200","$9,028,000",2021
RYAAY,"$9,321,000","$3,950,100","$711,800","$16,181,500","$10,789,000",2020
PM,"$80,669,000","$20,360,000","$9,048,000","$61,681,000","$70,638,000",2022
PM,"$82,223,000","$21,375,000","$9,109,000","$41,290,000","$51,396,000",2021
PM,"$76,047,000","$19,125,000","$8,056,000","$44,815,000","$57,382,000",2020
PM,"$77,921,000","$19,292,000","$7,185,000","$42,875,000","$54,452,000",2019
UNP,"$24,875,000","$18,994,000","$6,998,000","$65,449,000","$53,286,000",2022
UNP,"$21,804,000","$17,739,000","$6,523,000","$63,525,000","$49,364,000",2021
UNP,"$19,533,000","$16,257,000","$5,349,000","$62,398,000","$45,440,000",2020
UNP,"$21,708,000","$17,347,000","$5,919,000","$61,673,000","$43,545,000",2019
MS,"$53,388,000","$53,388,000","$11,029,000","$1,180,231,000","$1,080,090,000",2022
MS,"$59,751,000","$59,751,000","$15,034,000","$1,188,140,000","$1,082,699,000",2021
MS,"$47,996,000","$47,996,000","$10,996,000","$1,115,862,000","$1,014,081,000",2020
MS,"$41,377,000","$41,377,000","$9,042,000","$895,429,000","$813,880,000",2019
UPS,"$100,338,000","$72,334,000","$11,548,000","$71,124,000","$51,338,000",2022
UPS,"$97,287,000","$70,241,000","$12,890,000","$69,405,000","$55,152,000",2021
UPS,"$84,628,000","$62,511,000","$1,343,000","$62,408,000","$61,751,000",2020
UPS,"$74,094,000","$54,985,000","$4,440,000","$57,857,000","$54,590,000",2019
COP,"$78,494,000","$37,517,000","$18,680,000","$93,829,000","$45,826,000",2022
COP,"$45,828,000","$21,976,000","$8,079,000","$90,661,000","$45,255,000",2021
COP,"$18,784,000","$6,362,000","-$2,701,000","$62,618,000","$32,769,000",2020
COP,"$32,567,000","$15,403,000","$7,189,000","$70,514,000","$35,533,000",2019
CAT,"$59,427,000","$17,512,000","$6,705,000","$81,943,000","$66,074,000",2022
CAT,"$50,971,000","$15,003,000","$6,489,000","$82,793,000","$66,309,000",2021
CAT,"$41,748,000","$12,077,000","$2,998,000","$78,324,000","$62,993,000",2020
CAT,"$53,800,000","$16,416,000","$6,093,000","$78,453,000","$63,865,000",2019
SPGI,"$11,181,000","$11,181,000","$3,248,000","$61,784,000","$22,129,000",2022
SPGI,"$8,297,000","$8,297,000","$3,024,000","$15,026,000","$9,565,000",2021
SPGI,"$7,442,000","$7,442,000","$2,339,000","$12,537,000","$9,247,000",2020
SPGI,"$6,699,000","$6,699,000","$2,123,000","$11,348,000","$8,601,000",2019
GE,"$76,555,000","$18,286,000","$225,000","$187,788,000","$151,422,000",2022
GE,"$74,196,000","$17,890,000","-$6,520,000","$198,874,000","$158,564,000",2021
GE,"$75,833,000","$15,443,000","$5,704,000","$256,211,000","$220,660,000",2020
GE,"$90,221,000","$22,075,000","-$4,979,000","$265,177,000","$236,861,000",2019
RY,"$84,992,000",--,"$10,708,000","$1,444,259,000","$1,359,503,000",2023
RY,"$49,147,000",--,"$11,588,000","$1,405,534,000","$1,326,311,000",2022
RY,"$46,659,000",--,"$12,948,000","$1,376,566,000","$1,296,968,000",2021
RY,"$45,921,000",--,"$8,578,000","$1,218,396,000","$1,153,398,000",2020
HON,"$35,466,000","$11,641,000","$4,966,000","$62,275,000","$45,571,000",2022
HON,"$34,392,000","$10,998,000","$5,542,000","$64,470,000","$45,894,000",2021
